"","column2","list","date","Year","page","URL","new_name","new_path"
"13","No Time for Committees","sim_newsweek-us_1957-12-09_50_24",1957-12-09,1957,109,"https://archive.org/details/sim_newsweek-us_1957-12-09_50_24/page/n109/mode/2up","sim_newsweek-us_1957-12-09_50_24.txt","./AI_extracted_all/sim_newsweek-us_1957-12-09_50_24.txt"
"14","A Stool Needs Three Legs","sim_newsweek-us_1959-01-26_53_4",1959-01-26,1959,109,"https://archive.org/details/sim_newsweek-us_1959-01-26_53_4/page/n109/mode/2up","sim_newsweek-us_1959-01-26_53_4.txt","./AI_extracted_all/sim_newsweek-us_1959-01-26_53_4.txt"
"15","The Measure of a Man","sim_newsweek-us_1959-02-23_53_8",1959-02-23,1959,109,"https://archive.org/details/sim_newsweek-us_1959-02-23_53_8/page/n109/mode/2up","sim_newsweek-us_1959-02-23_53_8.txt","./AI_extracted_all/sim_newsweek-us_1959-02-23_53_8.txt"
"16","Most Dangerous Rumor","sim_newsweek-us_1959-04-20_53_16",1959-04-20,1959,121,"https://archive.org/details/sim_newsweek-us_1959-04-20_53_16/page/n121/mode/2up","sim_newsweek-us_1959-04-20_53_16.txt","./AI_extracted_all/sim_newsweek-us_1959-04-20_53_16.txt"
"17","Sowing the Windfallis","sim_newsweek-us_1959-07-06_54_1",1959-07-06,1959,89,"https://archive.org/details/sim_newsweek-us_1959-07-06_54_1/page/n89/mode/2up","sim_newsweek-us_1959-07-06_54_1.txt","./AI_extracted_all/sim_newsweek-us_1959-07-06_54_1.txt"
"18","The Feedback Obsession","sim_newsweek-us_1959-08-31_54_9",1959-08-31,1959,89,"https://archive.org/details/sim_newsweek-us_1959-08-31_54_9/page/n89/mode/2up","sim_newsweek-us_1959-08-31_54_9.txt","./AI_extracted_all/sim_newsweek-us_1959-08-31_54_9.txt"
"19","Mr K, Farm Expert","sim_newsweek-us_1959-09-28_54_13",1959-09-28,1959,125,"https://archive.org/details/sim_newsweek-us_1959-09-28_54_13/page/n125/mode/2up","sim_newsweek-us_1959-09-28_54_13.txt","./AI_extracted_all/sim_newsweek-us_1959-09-28_54_13.txt"
"20","Dilemma of the Left","sim_newsweek-us_1959-11-30_54_22",1959-11-30,1959,113,"https://archive.org/details/sim_newsweek-us_1959-11-30_54_22/page/n113/mode/2up","sim_newsweek-us_1959-11-30_54_22.txt","./AI_extracted_all/sim_newsweek-us_1959-11-30_54_22.txt"
"21","Retrospect and Prospect","sim_newsweek-us_1959-12-14_54_24",1959-12-14,1959,125,"https://archive.org/details/sim_newsweek-us_1959-12-14_54_24/page/n125/mode/2up","sim_newsweek-us_1959-12-14_54_24.txt","./AI_extracted_all/sim_newsweek-us_1959-12-14_54_24.txt"
"22","Rept from England part 2","sim_newsweek-us_1955-05-30_45_22",1955-05-30,1955,35,"https://archive.org/details/sim_newsweek-us_1955-05-30_45_22/page/n35/mode/2up","sim_newsweek-us_1955-05-30_45_22.txt","./AI_extracted_all/sim_newsweek-us_1955-05-30_45_22.txt"
"23","Lessons for Americans","sim_newsweek-us_1959-10-26_54_17",1959-10-26,1959,133,"https://archive.org/details/sim_newsweek-us_1959-10-26_54_17/page/n133/mode/2up","sim_newsweek-us_1959-10-26_54_17.txt","./AI_extracted_all/sim_newsweek-us_1959-10-26_54_17.txt"
"24","Rediscovering Congress","sim_newsweek-us_1953-08-24_42_8",1953-08-24,1953,81,"https://archive.org/details/sim_newsweek-us_1953-08-24_42_8/page/n81/mode/2up","sim_newsweek-us_1953-08-24_42_8.txt","./AI_extracted_all/sim_newsweek-us_1953-08-24_42_8.txt"
"25","The Distance and the Direction","sim_newsweek-us_1955-06-13_45_24",1955-06-13,1955,113,"https://archive.org/details/sim_newsweek-us_1955-06-13_45_24/page/n113/mode/2up","sim_newsweek-us_1955-06-13_45_24.txt","./AI_extracted_all/sim_newsweek-us_1955-06-13_45_24.txt"
"26","Not a Needy State","sim_newsweek-us_1957-04-29_49_17",1957-04-29,1957,117,"https://archive.org/details/sim_newsweek-us_1957-04-29_49_17/page/n117/mode/2up","sim_newsweek-us_1957-04-29_49_17.txt","./AI_extracted_all/sim_newsweek-us_1957-04-29_49_17.txt"
"27","Keys to Make-Believe","sim_newsweek-us_1957-06-03_49_22",1957-06-03,1957,109,"https://archive.org/details/sim_newsweek-us_1957-06-03_49_22/page/n109/mode/2up","sim_newsweek-us_1957-06-03_49_22.txt","./AI_extracted_all/sim_newsweek-us_1957-06-03_49_22.txt"
"28","Money Against Nature","sim_newsweek-us_1959-06-29_53_26",1959-06-29,1959,101,"https://archive.org/details/sim_newsweek-us_1959-06-29_53_26/page/n101/mode/2up","sim_newsweek-us_1959-06-29_53_26.txt","./AI_extracted_all/sim_newsweek-us_1959-06-29_53_26.txt"
"29","The Feedback Obsession","sim_newsweek-us_1959-08-31_54_9",1959-08-31,1959,89,"https://archive.org/details/sim_newsweek-us_1959-08-31_54_9/page/n89/mode/2up","sim_newsweek-us_1959-08-31_54_9.txt","./AI_extracted_all/sim_newsweek-us_1959-08-31_54_9.txt"
"30","Propaganda vs Education","sim_newsweek-us_1953-07-13_42_2",1953-07-13,1953,93,"https://archive.org/details/sim_newsweek-us_1953-07-13_42_2/page/n93/mode/2up","sim_newsweek-us_1953-07-13_42_2.txt","./AI_extracted_all/sim_newsweek-us_1953-07-13_42_2.txt"
"31","""See Thou Character’","sim_newsweek-us_1955-07-18_46_3",1955-07-18,1955,89,"https://archive.org/details/sim_newsweek-us_1955-07-18_46_3/page/n89/mode/2up","sim_newsweek-us_1955-07-18_46_3.txt","./AI_extracted_all/sim_newsweek-us_1955-07-18_46_3.txt"
