"","headline","article_nmbr","text","linenumber"
"62","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Harbert said any Chinese bid would need to go ""through the standard vetting process here. There are no pre-decisions, no policy determination that we would vote one way or another.""",62
"63","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"The job of sorting through these thorny issues is likely to go to the Committee on Foreign Investment in the United States, an interagency group that vets foreign purchases of sensitive U.S. assets.",63
"64","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"CNOOC has said it is ready to open its books for the committee and is prepared to address concerns about its possible ownership of Unocal assets.",64
"65","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Free-market supporters contend that it would be discriminatory for the U.S. to deny CNOOC access to the U.S. energy market when foreign firms, including BP and Royal Dutch/Shell, have been major players for decades.",65
"66","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"But Gal Luft, executive director of the Washington-based Institute for the Analysis of Global Security, said the U.S. was endangering the future competitiveness of U.S. energy companies if it allowed them to be outbid by a Chinese state-owned firm with government financial backing.",66
"67","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Such a deal would give Chinese firms access to sophisticated deep- water drilling technology, he said.",67
"68","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"""U.S. firms have some technological edge in off-shore operations, but they're losing it very quickly,"" he said. ""This is only the first case in what could be a systematic effort by the Chinese to outbid American companies.""",68
"69","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"The Committee on Foreign Investment in the United States was established in the 1970s after the Arab oil embargo amid concern about the rise of Middle Eastern oil powers.",69
"70","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"One of its first cases involved the $2.5-billion acquisition of Santa Fe Petroleum by the state-owned Kuwait Petroleum Co., according to a Cato Institute study. That deal was approved after the Kuwaiti firm agreed to keep sensitive technology out of its government's control.",70
"71","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"The committee has largely taken a free-market approach. In its reviews of more than 1,000 cases, it has raised concerns about only a handful of deals. In most instances, foreign buyers backed off or agreed to amend their bids, said Daniel Griswold, Cato's director of trade policy.",71
"72","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"In 1988, congressional critics, worried that the U.S. was selling off family jewels, sought to beef up the process by giving the president authority to block foreign deals if they threatened national security.",72
"73","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"That trigger has been pulled once, and the target was China, according to trade experts. In 1990, amid concerns over Chinese acquisitions of sensitive U.S. technology, then-President George H.W. Bush ordered China National Aero-Technology Import & Export Corp. to sell its interest in Mamco Manufacturing Co., an aerospace firm that supplied Boeing Co.",73
"74","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Illustration Caption: PHOTO: SECRETARY: John Snow received a letter asking him to review CNOOC's bid for Unocal.; PHOTOGRAPHER: Larry Downing Reuters",74
"75","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Classification: 9190: United States; 2330: Acquisitions & mergers; 8510: Petroleum industry",75
"76","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",76
"77","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Pages: C.1",77
"78","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Publication date: Jun 25, 2005",78
"79","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Publication subject: General Interest Periodicals--United States",79
"80","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"ISSN: 04583035",80
"81","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Language of publication: English",81
"82","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"ProQuest document ID: 422028211",82
"83","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Document URL: https://search.proquest.com/docview/4 22028211?accountid=41449",83
"84","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Copyright: (Copyright (c) 2005 Los Angeles Times)",84
"85","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Last updated: 2017-11-15",85
"86","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Database: ProQuest Central",86
"87","Title: The Chinese Invasion:   [HOME EDITION ]",3,"STARTOFARTICLE",87
"88","Title: The Chinese Invasion:   [HOME EDITION ]",3,"The Chinese Invasion",88
"89","Title: The Chinese Invasion:   [HOME EDITION ]",3,"Publication info: Los Angeles Times ; Los Angeles, Calif. [Los Angeles, Calif]03 July 2005: M.4.",89
"90","Title: The Chinese Invasion:   [HOME EDITION ]",3,"https://search.proquest.com/docview/422082863?accountid=41449",90
"91","Title: The Chinese Invasion:   [HOME EDITION ]",3,"Abstract: The Japan scare came with a lot of xenophobia, verging on racism, and foolish analogies between Japan's military imperialism of World War II and the so-called economic imperialism of half a century later. That earlier Japanese imperialism had involved killing millions of foreigners in an attempt to rule half the world by military force. The later Japanese so-called imperialism involved selling high-quality goods to millions of willing foreigners and then investing part of the proceeds in job-producing assets in those foreign countries. The current and growing anti-Chinese sentiment has the same basic causes: resentment at another country's economic success and fear that it threatens our own well-being. But there are distinctions in flavor. Yesterday's Japanophobia and today's Sinophobia draw from different themes of classic Western prejudice against the East. Japan was the wily Oriental with his devilish plots. China is the Asian hordes. It's not that they're so smart, it's just that there are so darn many of them, and they are all being orchestrated by a fiendish Communist Party. Peasants pour out of the countryside into huge factories where they work 20 hours a day for $3.25 and produce enough of everything to fill an entire Wal-Mart every 7.3 minutes.... And we, like fools, buy this stuff. It's not fair! It turned out that Japan was not one big, unstoppable economic machine. Its economy has been in the tank, while ours has thrived, for most of the period since the Japanophobia pandemic. The Japanese are not robots. A touching human weakness -- vanity -- caused them to overpay for prestigious American assets such as Rockefeller Center and Columbia Pictures, which they then managed badly. And who today feels humiliated because a major studio is named ""Sony"" -- or even thinks of Sony as especially Japanese, or even foreign?",91
"92","Title: The Chinese Invasion:   [HOME EDITION ]",3,"Full text: Even some people who were not alarmed when Japanese companies started snapping up famous American businesses 15 years ago are succumbing to alarm about Chinese companies doing the same thing today. The alarmists were wrong the last time, and the please- remain-calm types were right. Are there good reasons to think that things are different this time around?",92
"93","Title: The Chinese Invasion:   [HOME EDITION ]",3,"The Japan scare came with a lot of xenophobia, verging on racism, and foolish analogies between Japan's military imperialism of World War II and the so-called economic imperialism of half a century later. That earlier Japanese imperialism had involved killing millions of foreigners in an attempt to rule half the world by military force. The later Japanese so-called imperialism involved selling high-quality goods to millions of willing foreigners and then investing part of the proceeds in job-producing assets in those foreign countries.",93
"94","Title: The Chinese Invasion:   [HOME EDITION ]",3,"Anti-Japanese hysteria also featured quite a bit of anthropological poppycock about how the basic laws of economics don't apply to cultures that emphasize production over consumption. Or to novel forms of organization (remember the keiretsu?) that combine all the evils of socialism and corporate capitalism into a production machine that is too efficient to be tolerated. Virtues morphed into cheating: They work hard and save while we spend and borrow -- it's not fair!",94
"95","Title: The Chinese Invasion:   [HOME EDITION ]",3,"The current and growing anti-Chinese sentiment has the same basic causes: resentment at another country's economic success and fear that it threatens our own well-being. But there are distinctions in flavor. Yesterday's Japanophobia and today's Sinophobia draw from different themes of classic Western prejudice against the East. Japan was the wily Oriental with his devilish plots. China is the Asian hordes. It's not that they're so smart, it's just that there are so darn many of them, and they are all being orchestrated by a fiendish Communist Party. Peasants pour out of the countryside into huge factories where they work 20 hours a day for $3.25 and produce enough of everything to fill an entire Wal-Mart every 7.3 minutes.... And we, like fools, buy this stuff. It's not fair!",95
