title,date2,publication,title2
JACOBS' DREAM: IMPROVING DISASTER RISK MANAGEMENT USING VISUAL CLUES IN,NA,NA,jacobs' dream: improving disaster risk management using visual clues in
"Nfina Technologies Releases the 4508T-AI, a High-Precision AI Computing Workstation","Aug 07, 2024",    PR Newswire,"nfina technologies releases the 4508t-ai, a high-precision ai computing workstation"
"Fake Hurricane Helene images go viral, experts discuss the problem and how to",NA,NA,"fake hurricane helene images go viral, experts discuss the problem and how to"
"FAKE HURRICANE HELENE IMAGES GO VIRAL, EXPERTS DISCUSS THE PROBLEM AND",NA,NA,"fake hurricane helene images go viral, experts discuss the problem and"
Microsoft: Another Important Step in Advancing Responsible AI to Serve The World,"Sep 18, 2024",    Targeted News Service           Targeted News Service,microsoft: another important step in advancing responsible ai to serve the world
Three Mile Island is reopening and selling its power to Microsoft,"Sep 20, 2024","    CNN Wire        By Jordan Valinsky, CNN",three mile island is reopening and selling its power to microsoft
UNITED IN SCIENCE: REBOOT CLIMATE ACTION,"Sep 18, 2024",    States News Service States News Service,united in science: reboot climate action
"Latin America Embraces Satellite Data and Artificial Intelligence for Law Enforcement,",NA,NA,"latin america embraces satellite data and artificial intelligence for law enforcement,"
INDIA TO HOST WORLD CONFERENCE ON PRIORITIES FOR TECHNOLOGY STANDARDS,"Sep 10, 2024",    States News Service States News Service,india to host world conference on priorities for technology standards
"DISASTER READINESS, QUALITY, BEHAVIORAL HEALTH LEAD FALL EDUCATIONAL",NA,NA,"disaster readiness, quality, behavioral health lead fall educational"
"Department of Homeland Security Unveils Artificial Intelligence Roadmap, Announces",NA,NA,"department of homeland security unveils artificial intelligence roadmap, announces"
Rising Demand Drives Enterprise Data Storage Market to USD 670.82 Billion by 2032|,NA,NA,rising demand drives enterprise data storage market to usd 670.82 billion by 2032|
USPTO ISSUES TRADEMARK: CARE.AI SMART,"Aug 29, 2024",    US Fed News,uspto issues trademark: care.ai smart
Joint Economic Committee Issues Testimony From R Street Institute Senior Fellow,NA,NA,joint economic committee issues testimony from r street institute senior fellow
"EDDY HIGHLIGHTS AI, ANALYTICS, EMERGENCY MANAGEMENT","Jan 10, 2024",    US Fed News,"eddy highlights ai, analytics, emergency management"
DEPARTMENT OF HOMELAND SECURITY UNVEILS ARTIFICIAL INTELLIGENCE,NA,NA,department of homeland security unveils artificial intelligence
"Virginia Tech research team uses AI, satellite imagery to detail Debby's damage","Aug 19, 2024",    Targeted News Service           Targeted News Service,"virginia tech research team uses ai, satellite imagery to detail debby's damage"
"VIRGINIA TECH RESEARCH TEAM USES AI, SATELLITE IMAGERY TO DETAIL DEBBY'S",NA,NA,"virginia tech research team uses ai, satellite imagery to detail debby's"
International Rescue Committee: OpenAI X International Rescue Committee -,NA,NA,international rescue committee: openai x international rescue committee -
NetApp Fights Ransomware in Real-Time With Built-In Artificial Intelligence on,NA,NA,netapp fights ransomware in real-time with built-in artificial intelligence on
"Senate Joint Economic Committee Committee Hearing ""Artificial Intelligence and Its",NA,NA,"senate joint economic committee committee hearing ""artificial intelligence and its"
University of Washington School of Medicine: Sky-is-Falling Scenarios Distract From,NA,NA,university of washington school of medicine: sky-is-falling scenarios distract from
USPTO ISSUES TRADEMARK: EOLIANN,"Aug 14, 2024",    US Fed News,uspto issues trademark: eoliann
UAH Researcher Publishes Study Tapping Social Media and AI to Speed Supply Chain,NA,NA,uah researcher publishes study tapping social media and ai to speed supply chain
Acterys Adds New AI-Driven Business Planning Features in Latest Release,"Aug 01, 2024",    PR Newswire,acterys adds new ai-driven business planning features in latest release
AI Ethics Council Founded by Open AI and Operation HOPE Holds Inaugural Meeting,"Jul 01, 2024",    PR Newswire,ai ethics council founded by open ai and operation hope holds inaugural meeting
UNITED NATIONS AI MEET GIVES EVERYONE A VOICE COMMITMENTS ON INCLUSIVE AI,NA,NA,united nations ai meet gives everyone a voice commitments on inclusive ai
TUM and Creditreform on the Hunt for Greenwashing,"Jun 05, 2024",    Targeted News Service           Targeted News Service,tum and creditreform on the hunt for greenwashing
UAH RESEARCHER PUBLISHES STUDY TAPPING SOCIAL MEDIA AND AI TO SPEED,NA,NA,uah researcher publishes study tapping social media and ai to speed
FEMA Awards ICF New $17 Million Cloud and Analytics Delivery Contract,"Jul 22, 2024",    PR Newswire,fema awards icf new $17 million cloud and analytics delivery contract
USPTO ISSUES TRADEMARK: C C,"Aug 31, 2024",    US Fed News,uspto issues trademark: c c
AI-Media Unveils Enhanced Lexi Tool Kit at NAB 2024 World Leader in AI -Powered,NA,NA,ai-media unveils enhanced lexi tool kit at nab 2024 world leader in ai -powered
USPTO ISSUES TRADEMARK: AUGMENTED AMBIENT ASSISTANT,"Aug 31, 2024",    US Fed News,uspto issues trademark: augmented ambient assistant
"Markey, Heinrich, Eshoo, Beyer Introduce Legislation to Investigate, Measure",NA,NA,"markey, heinrich, eshoo, beyer introduce legislation to investigate, measure"
USPTO ISSUES TRADEMARK: SPACES THAT CARE,"Aug 29, 2024",    US Fed News,uspto issues trademark: spaces that care
Expedient Unveils Secure AI Gateway : Simplifying Access while Unlocking the Value,NA,NA,expedient unveils secure ai gateway : simplifying access while unlocking the value
"MARKEY, HEINRICH, ESHOO, BEYER INTRODUCE LEGISLATION TO INVESTIGATE,",NA,NA,"markey, heinrich, eshoo, beyer introduce legislation to investigate,"
CAN AI BE A FORCE FOR INCLUSION?,"Mar 08, 2024",    States News Service States News Service,can ai be a force for inclusion?
ADDING MULTIMEDIA Atmo Signs Historic Commercial Agreement with the Philippines,NA,NA,adding multimedia atmo signs historic commercial agreement with the philippines
INTERNATIONAL PATENT: 304STANBUL GEL304350304M UN,NA,NA,international patent: 304stanbul gel304350304m un
International Telecommunication Union: India to Host World Conference on Priorities,NA,NA,international telecommunication union: india to host world conference on priorities
"Reps. Eshoo and Beyer, Senators Markey and Heinrich Introduce Legislation to",NA,NA,"reps. eshoo and beyer, senators markey and heinrich introduce legislation to"
NEW COMPUTER VISION TOOL WINS PRIZE FOR SOCIAL IMPACT,"Apr 11, 2024",    States News Service States News Service,new computer vision tool wins prize for social impact
"REPS. ESHOO AND BEYER, SENATORS MARKEY AND HEINRICH INTRODUCE",NA,NA,"reps. eshoo and beyer, senators markey and heinrich introduce"
27TH CSTD SIDE EVENT: PANEL DISCUSSION ON DATA-DRIVEN SERVICES FOR,NA,NA,27th cstd side event: panel discussion on data-driven services for
"EXPERTS AVAILABLE: HURRICANE HELENE RESPONSE AND RECOVERY, VICE",NA,NA,"experts available: hurricane helene response and recovery, vice"
"Experts available: Hurricane Helene response and recovery, Vice Presidential debate,",NA,NA,"experts available: hurricane helene response and recovery, vice presidential debate,"
GSA Announces New Cohort of U.S. Digital Corps Fellows,"Aug 14, 2024",    Targeted News Service           Targeted News Service,gsa announces new cohort of u.s. digital corps fellows
Association of the U.S. Army: National Guard Readies for Busy Disaster Response,NA,NA,association of the u.s. army: national guard readies for busy disaster response
NATIONAL GUARD READIES FOR BUSY DISASTER RESPONSE SEASON,"Jun 04, 2024",    States News Service States News Service,national guard readies for busy disaster response season
University of Exeter : AI Can Support Humanitarian Organizations in Situations of,NA,NA,university of exeter : ai can support humanitarian organizations in situations of
PolyU harnesses GeoAI technologies to enable sustainable urban development,"Apr 09, 2024",    PR Newswire,polyu harnesses geoai technologies to enable sustainable urban development
National Environmental Health Association Provides Thought Leadership at World,NA,NA,national environmental health association provides thought leadership at world
New Nasuni Research Reveals Crucial Need for Hybrid Cloud Storage Strategies,"Jul 16, 2024",    PR Newswire,new nasuni research reveals crucial need for hybrid cloud storage strategies
Flowcore: Synthetik Insurance Analytics announces successful demonstration of AI,NA,NA,flowcore: synthetik insurance analytics announces successful demonstration of ai
Over 100 Experts From Home and Abroad Discuss Smart City Development at UM,"Aug 25, 2024",    Targeted News Service           Targeted News Service,over 100 experts from home and abroad discuss smart city development at um
NEW AI-LED SCIENCE INITIATIVE WILL HELP PROTECT COMMUNITIES HIT BY CLIMATE,NA,NA,new ai-led science initiative will help protect communities hit by climate
PR NO. 174 GOVERNMENT OF PAKISTAN HAS ESTABLISHED A MULTI-SECTOR,NA,NA,pr no. 174 government of pakistan has established a multi-sector
"Artificial Intelligence A Threat to Climate Change, Energy Usage and Disinformation","Mar 07, 2024",    Targeted News Service           Targeted News Service,"artificial intelligence a threat to climate change, energy usage and disinformation"
OAS AND VIVE CON ESPERANZA FOUNDATION TO COOPERATE IN PROMOTING,NA,NA,oas and vive con esperanza foundation to cooperate in promoting
Wireless Broadband in Public Safety Market: In-Depth Analysis by Market Research,NA,NA,wireless broadband in public safety market: in-depth analysis by market research
Scientific Systems Conducts Groundbreaking Research Pairing Cutting-Edge,NA,NA,scientific systems conducts groundbreaking research pairing cutting-edge
"StockSnips Unveils their first AI-powered ETF: NEWZ, now trading on Nasdaq","Apr 12, 2024",    PR Newswire,"stocksnips unveils their first ai-powered etf: newz, now trading on nasdaq"
APEC BUSINESSES CALL FOR GREATER ACTION AMID INSUFFICIENT ECONOMIC,NA,NA,apec businesses call for greater action amid insufficient economic
A NIST FOUNDATION TO SUPPORT THE AGENCY'S AI MANDATE,"Jun 24, 2024",    States News Service States News Service,a nist foundation to support the agency's ai mandate
