"","Year","column2","date","page","month","day","month_num","date2","real_page","index","list","URL","filename"
"12",1957,"The Score on Economy"," O 21","120","O",21,10,1957-10-21,121,72,"sim_newsweek-us_1957-10-21_50_17","https://archive.org/details/sim_newsweek-us_1957-10-21_50_17/page/n121/mode/2up","moley_perspective_AI_72.txt"
"13",1957,"No Time for Committees"," D 9","108","D",9,12,1957-12-09,109,74,"sim_newsweek-us_1957-12-09_50_24","https://archive.org/details/sim_newsweek-us_1957-12-09_50_24/page/n109/mode/2up","moley_perspective_AI_74.txt"
"14",1959,"A Stool Needs Three Legs"," Ja 26","108","Ja",26,1,1959-01-26,109,75,"sim_newsweek-us_1959-01-26_53_4","https://archive.org/details/sim_newsweek-us_1959-01-26_53_4/page/n109/mode/2up","moley_perspective_AI_75.txt"
"15",1959,"The Measure of a Man"," F 23","108","F",23,2,1959-02-23,109,76,"sim_newsweek-us_1959-02-23_53_8","https://archive.org/details/sim_newsweek-us_1959-02-23_53_8/page/n109/mode/2up","moley_perspective_AI_76.txt"
"16",1959,"Most Dangerous Rumor"," Ap 20","120","Ap",20,4,1959-04-20,121,78,"sim_newsweek-us_1959-04-20_53_16","https://archive.org/details/sim_newsweek-us_1959-04-20_53_16/page/n121/mode/2up","moley_perspective_AI_78.txt"
"17",1959,"Sowing the Windfallis"," Jl 6","88","Jl",6,7,1959-07-06,89,86,"sim_newsweek-us_1959-07-06_54_1","https://archive.org/details/sim_newsweek-us_1959-07-06_54_1/page/n89/mode/2up","moley_perspective_AI_86.txt"
"18",1959,"The Feedback Obsession"," Ag 31","88","Ag",31,8,1959-08-31,89,87,"sim_newsweek-us_1959-08-31_54_9","https://archive.org/details/sim_newsweek-us_1959-08-31_54_9/page/n89/mode/2up","moley_perspective_AI_87.txt"
"19",1959,"Mr K, Farm Expert"," S 28","124","S",28,9,1959-09-28,125,88,"sim_newsweek-us_1959-09-28_54_13","https://archive.org/details/sim_newsweek-us_1959-09-28_54_13/page/n125/mode/2up","moley_perspective_AI_88.txt"
"20",1959,"Dilemma of the Left"," N 30","112","N",30,11,1959-11-30,113,89,"sim_newsweek-us_1959-11-30_54_22","https://archive.org/details/sim_newsweek-us_1959-11-30_54_22/page/n113/mode/2up","moley_perspective_AI_89.txt"
"21",1959,"Retrospect and Prospect"," D 14","124","D",14,12,1959-12-14,125,90,"sim_newsweek-us_1959-12-14_54_24","https://archive.org/details/sim_newsweek-us_1959-12-14_54_24/page/n125/mode/2up","moley_perspective_AI_90.txt"
"22",1955,"Rept from England part 2"," My 30","34","My",30,5,1955-05-30,35,93,"sim_newsweek-us_1955-05-30_45_22","https://archive.org/details/sim_newsweek-us_1955-05-30_45_22/page/n35/mode/2up","moley_perspective_AI_93.txt"
"23",1959,"Lessons for Americans"," O 26","132","O",26,10,1959-10-26,133,95,"sim_newsweek-us_1959-10-26_54_17","https://archive.org/details/sim_newsweek-us_1959-10-26_54_17/page/n133/mode/2up","moley_perspective_AI_95.txt"
